pattern,tag
"(('interest', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'nmod', ('years', 'NNS'))",si
"(('interest', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))",si
"(('Find', 'VBP'), 'nsubj', ('', 'CD')),(('', 'CD'), 'dep', ('$', '$')),(('', 'CD'), 'acl:relcl', ('invested', 'VBN'))",p
"(('Find', 'VBP'), 'nsubj', ('', 'CD'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'acl:relcl', ('given', 'VBN'))",p
"(('Find', 'VBP'), 'nsubj', ('', 'CD'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'acl:relcl', ('borrowed', 'VBN'))",p
"(('interest', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'nmod', ('years', 'NNS'))",si
"(('sum', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))",p
"(('', 'NNP'), 'case', (""'s"", 'POS'))(('', 'NNP'), 'case', (""'s"", 'POS'))(('', 'CD'), 'dep', ('#', '#'))(('', 'CD'), 'nmod', ('account', 'NN'))",p
"(('worth', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'nmod', ('years', 'NNS'))",p
"(('sum', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))",p
"(('amounts', 'NNS'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('to', 'TO'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'nmod', ('years', 'NNS'))",a
"(('interest', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))",si
"(('interest', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'nmod', ('amount', 'NN'))",si
"(('was', 'VBD'), 'advcl', ('', 'CD'))(('', 'CD'), 'mark', ('If', 'IN'))(('', 'CD'), 'nsubj', ('interest', 'NN'))(('', 'CD'), 'cop', ('was', 'VBD'))(('', 'CD'), 'dep', ('$', '$'))",si
"(('will', 'VB'), 'dep', ('', 'CD'))(('', 'CD'), 'dep', ('$', '$'))",p
"(('will', 'VB'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('to', 'TO'))(('', 'CD'), 'dep', ('$', '$'))",a
"(('interest', 'NN'), 'nmod', (‘’, 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'nmod', ('years', 'NNS'))",si
"(('sum', 'NN'), 'nmod', ('', 'CD'))(('', 'CD'), 'case', ('of', 'IN'))(('', 'CD'), 'dep', ('$', '$'))",p
"(('Find', 'VBP'), 'nsubj', ('', 'CD'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'acl:relcl', ('borrowed', 'VBN'))",p
"(('Find', 'VBP'), 'nsubj', ('', 'CD'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'acl:relcl', ('borrowed', 'VBN'))",p
"(('Find', 'VBP'), 'nsubj', ('', 'CD'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'acl:relcl', ('given', 'VBN'))",p
"(('Find', 'VBP'), 'nsubj', ('', 'CD'))(('', 'CD'), 'dep', ('$', '$'))(('', 'CD'), 'acl:relcl', ('invested', 'VBN'))",p
